"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-10607","KT가족만족 할부 신한카드","신한","236","0.244","1707","300000","10000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1221484_2207.html?EntryLoc2=3298&empSeq=504 &utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_ktfamily","KT가족만족 할부 신한카드 피킹률 | KT가족만족 할부 신한카드 실제 혜택 | 신한 KT가족만족 할부 신한카드 카드 추천"
"naver-card-10585","KB국민 NEED Pay 카드","KB국민","237","0.202","1417","400000","3000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=09800","KB국민 NEED Pay 카드 피킹률 | KB국민 NEED Pay 카드 실제 혜택 | KB국민 KB국민 NEED Pay 카드 카드 추천"
"naver-card-10618","SmileCard Edition3","현대","238","0.186","1303","300000","5000","3","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ESPE3","SmileCard Edition3 피킹률 | SmileCard Edition3 실제 혜택 | 현대 SmileCard Edition3 카드 추천"
"naver-card-3958","올바른BAZIC+ 카드","NH농협","239","0.155","1087","400000","5000","5","1","false","28","P2","estimated_rule | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90000418&FromSite=53","올바른BAZIC+ 카드 피킹률 | 올바른BAZIC+ 카드 실제 혜택 | NH농협 올바른BAZIC+ 카드 카드 추천"
"naver-card-10237","삼성 iD NOMAD 카드","삼성","240","0.155","1083","500000","5000","4","1","false","8","P3","not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1786&alncmpC=QACDMB20&affcode=QACDMB20&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1786_%EC%82%BC%EC%84%B1%20iD%20NOMAD%20%EC%B9%B4%EB%93%9C&utm_campaign=%EC%82%BC%EC%84%B1%20iD%20NOMAD%20%EC%B9%B4%EB%93%9C&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 iD NOMAD 카드 피킹률 | 삼성 iD NOMAD 카드 실제 혜택 | 삼성 삼성 iD NOMAD 카드 카드 추천"
"naver-card-10327","신한카드 Point Plan","신한","241","0.155","1083","400000","10000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1226113_2207.html?EntryLoc2=3447&empSeq=509&btnApp=DP0A1Q3&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_pointplan","신한카드 Point Plan 피킹률 | 신한카드 Point Plan 실제 혜택 | 신한 신한카드 Point Plan 카드 추천"
"naver-card-10533","현대카드Z everyday","현대","242","0.155","1083","500000","5000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZWK&eventCode=ANB25","현대카드Z everyday 피킹률 | 현대카드Z everyday 실제 혜택 | 현대 현대카드Z everyday 카드 추천"
"naver-card-10581","현대카드 MC SKYPASS","현대","243","0.143","1000","0","1000","2","1","false","8","P3","not_officially_verified","https://mycompany.hyundaicard.com/cr/in/CRIN1007.do?_method=X01&pageType=newJoin","현대카드 MC SKYPASS 피킹률 | 현대카드 MC SKYPASS 실제 혜택 | 현대 현대카드 MC SKYPASS 카드 추천"
"naver-card-10578","현대카드 MC 주유전용카드","현대","244","0.143","1000","0","1000","3","1","false","28","P2","estimated_rule | not_officially_verified","https://mycompany.hyundaicard.com/cr/in/CRIN1006.do?_method=X02&pageType=newJoin","현대카드 MC 주유전용카드 피킹률 | 현대카드 MC 주유전용카드 실제 혜택 | 현대 현대카드 MC 주유전용카드 카드 추천"
"naver-card-10241","zgm.고향으로카드","NH농협","245","0.143","1000","400000","2000","5","1","false","28","P2","estimated_rule | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90010216&FromSite=53","zgm.고향으로카드 피킹률 | zgm.고향으로카드 실제 혜택 | NH농협 zgm.고향으로카드 카드 추천"
